ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA
537	28	21	84	97	20	218	68
538	80	74	85	99	53	209	69
539	80	74	85	99	53	212	69
540	79	21	83	33	45	215	17
541	80	74	85	99	53	216	69
542	80	74	85	99	53	207	69
544	1	2	12	3	2	220	3
545	7	6	15	6	5	84	1
546	82	4	87	3	2	1	5
547	3	18	27	3	4	221	5
548	5	8	5	7	6	222	1
549	7	13	19	6	1	223	1
550	11	3	12	38	3	224	2
551	5	6	88	29	5	3	1
552	2	1	89	3	3	1	7
553	1	1	11	11	2	225	5
554	2	1	9	1	3	5	5
555	3	9	9	3	2	1	5
556	7	27	2	6	1	24	1
557	27	54	64	74	22	157	55
558	11	1	12	38	2	1	5
560	4	9	4	3	3	1	5
561	5	8	5	7	6	2	71
562	83	19	91	100	58	178	72
563	84	75	92	101	59	227	73
564	67	76	91	102	60	228	38
565	84	75	93	103	61	229	74
566	83	77	91	102	62	150	39
567	84	78	92	104	61	230	75
568	85	75	94	102	61	231	76
569	86	75	93	101	61	232	77
570	5	5	8	18	1	7	1
571	7	6	15	18	12	6	59
572	52	1	4	14	4	1	3
573	7	6	8	105	6	7	1
574	8	6	15	6	6	2	78
575	6	5	6	55	1	4	1
576	31	4	4	3	2	1	5
577	31	4	4	3	2	1	18
578	2	1	11	3	3	1	19
579	5	6	47	7	5	2	1
580	6	37	6	4	1	4	1
581	11	3	12	3	3	1	2
582	54	5	6	4	1	4	1
583	55	5	6	4	1	4	1
584	7	6	8	69	6	37	1
585	30	6	10	20	40	26	1
586	15	10	18	18	1	233	1
587	15	10	18	18	1	89	1
588	5	6	2	9	5	165	1
589	87	1	11	11	2	1	5
590	6	5	6	4	1	234	1
591	7	6	15	6	63	2	1
592	7	15	15	8	11	237	9
593	7	6	8	8	6	235	1
594	12	12	12	61	3	236	4
595	3	1	1	106	3	1	3
596	1	2	12	3	2	5	79
599	70	80	30	33	45	240	68
600	36	21	40	108	65	241	81
602	26	21	40	110	45	242	16
603	36	21	40	108	65	243	81
605	36	21	30	35	45	69	17
609	5	6	2	29	5	3	5
610	7	6	62	1	5	2	1
611	1	2	12	3	2	5	1
612	12	1	4	14	3	39	3
613	3	1	1	1	3	1	82
614	91	1	1	1	3	1	5
615	3	9	9	3	3	12	5
616	3	9	9	3	72	1	5
617	2	9	12	14	3	247	36
618	98	4	4	3	2	1	5
619	12	86	11	3	73	1	2
620	7	87	8	6	1	2	1
621	99	6	10	6	1	2	1
622	100	5	6	4	1	4	1
623	18	11	21	24	17	248	13
624	5	8	105	7	6	2	1
625	6	5	6	119	1	4	1
626	7	88	106	120	1	249	1
627	4	4	4	3	2	250	5
628	4	4	4	121	2	1	5
629	101	1	11	3	3	1	7
630	1	1	11	11	2	1	3
631	1	2	9	3	2	1	3
632	1	89	1	3	7	5	3
633	1	9	1	3	3	5	3
634	1	2	9	123	2	5	3
635	23	29	3	30	6	6	1
636	27	54	104	74	22	157	55
637	28	23	33	35	23	192	16
638	3	1	1	117	3	1	3
639	3	1	12	3	69	1	5
640	41	33	100	54	70	246	28
641	41	33	43	122	70	111	28
642	5	6	2	7	5	3	1
643	5	7	3	5	1	26	6
644	5	13	63	21	5	2	6
645	5	10	8	116	1	3	1
646	5	13	3	6	5	7	1
647	5	13	3	6	5	96	1
648	5	29	102	62	6	7	34
649	5	6	10	21	1	252	85
650	5	10	3	116	1	3	1
651	52	1	9	1	3	1	4
652	57	6	2	29	5	7	1
653	57	6	10	29	5	3	1
654	59	11	21	24	71	164	47
655	6	10	15	7	12	7	1
656	7	14	8	6	2	27	1
657	7	6	3	66	5	7	7
658	7	6	17	115	5	26	1
659	7	10	17	5	5	2	1
660	7	10	17	115	1	26	1
661	7	85	10	118	13	3	1
662	7	14	8	6	1	27	1
663	88	79	12	3	18	1	5
664	92	83	98	113	68	245	83
665	93	84	101	6	1	251	1
666	94	2	11	3	18	1	5
667	95	6	3	7	5	2	84
668	96	45	29	114	61	150	39
669	97	11	103	24	17	123	13
670	62	57	99	77	43	163	83
671	5	10	8	6	1	253	1
672	5	7	6	4	5	254	1
673	5	6	2	9	5	255	1
674	34	4	4	3	2	1	5
675	11	12	4	15	3	12	2
676	34	39	11	60	3	9	2
677	7	10	16	7	5	50	1
678	7	10	16	7	5	38	1
679	1	1	1	11	2	1	5
680	5	6	8	62	39	7	34
681	7	15	15	8	6	256	9
682	1	2	12	3	2	257	3
683	5	5	17	124	39	2	6
684	7	10	16	7	5	85	1
685	2	1	11	3	3	1	3
686	102	9	11	15	3	1	2
687	11	9	11	15	3	1	7
688	3	9	1	3	7	1	5
689	8	6	8	6	1	37	1
690	11	5	48	3	2	1	31
691	5	8	5	125	6	2	1
692	3	1	1	1	74	1	3
693	2	90	1	17	2	1	3
694	5	7	6	4	5	258	1
695	7	27	107	41	5	2	1
696	1	3	7	2	4	7	2
697	7	7	108	10	5	6	1
698	3	92	1	1	3	1	3
699	8	91	15	6	6	2	1
700	3	9	1	3	3	1	3
701	3	9	9	1	3	1	5
702	3	9	9	3	3	1	22
703	3	1	3	1	3	1	3
704	3	93	9	3	3	1	86
705	7	10	16	7	5	259	1
706	5	29	8	21	1	7	1
707	74	30	35	126	75	148	26
708	7	6	8	8	76	37	1
709	21	6	15	8	6	2	1
710	3	1	1	1	3	1	87
711	7	15	15	8	6	2	9
712	7	10	16	7	5	3	1
713	6	5	109	4	1	4	1
714	7	6	8	127	6	37	1
715	7	13	19	6	1	260	1
716	7	6	8	8	6	261	1
717	7	6	8	107	6	37	1
718	6	5	6	4	1	4	80
719	89	6	2	9	5	3	1
720	5	8	5	128	6	2	1
721	1	2	110	3	2	5	3
722	5	29	8	129	1	7	1
723	103	1	1	1	3	1	3
724	1	1	11	11	2	48	5
725	7	7	3	10	5	186	1
726	7	6	15	6	5	25	1
727	3	1	1	1	3	17	3
728	5	7	3	5	1	262	6
729	28	21	84	97	45	218	68
730	12	94	4	14	3	39	4
731	65	95	33	130	45	263	88
